,restaurant_name,avg_rating,review_number,avg_price,dish_type,neighborhood,dining_style,dress_code,parking_details,photo_number
0,Nobu Istanbul,4.5,22,$50 and over,Japanese,Şişli,Casual Dining,Smart Casual,Valet,1 Photo
1,Safran Restaurant,4.6,29,$50 and over,Turkish,Beyoğlu,Fine Dining,Formal Attire,Hotel Parking,12 Photos
2,Peninsula Teras Restaurant,5,1,$30 and under,Turkish,Sultanahmet,Casual Dining,Business Casual,None,12 Photos
3,Tuğra Restaurant & Lounge,5,1,$31 to $50,Middle Eastern,Sultanahmet,Casual Dining,Business Casual,None,2 Photos
4,IST TOO,0,0,$31 to $50,International,Sultanahmet,Casual Dining,Business Casual,None,11 Photos
5,City Lights Bar,4.5,23,$31 to $50,International,Beyoğlu,Casual Dining,Smart Casual,Hotel Parking,16 Photos
6,SHANG PALACE,4.6,4,$31 to $50,Asian,Sultanahmet,Casual Dining,Business Casual,None,5 Photos
7,Atölye Restaurant,0,0,$30 and under,International,Şişli,Elegant Dining,Smart Casual,Valet,Menu
8,Yali,0,0,$50 and over,"Global, International",Beşiktaş,Casual Dining,Casual Dress,Hotel Parking,1 Photo
9,Cok Cok Thai - Classic Thai,4.2,11,$30 and under,Asian,Beyoğlu,Casual Dining,Business Casual,None,34 Photos
10,Kafi Istanbul,0,0,$30 and under,Turkish,Sultanahmet,Casual Dining,Business Casual,None,7 Photos
11,Alancha,4.7,1,$50 and over,Seafood,Sultanahmet,Casual Dining,Business Casual,None,11 Photos
12,Hadi Karaköy,5,1,$30 and under,Turkish,Sultanahmet,Casual Dining,Business Casual,None,12 Photos
13,Ali Ocakbaşı Karaköy,0,0,$30 and under,Middle Eastern,Sultanahmet,Casual Dining,Business Casual,None,4 Photos
14,Yalan Dünya,0,0,$30 and under,Turkish,Sultanahmet,Casual Dining,Business Casual,None,14 Photos
15,Jazz ve Burger,0,0,$30 and under,Burgers,Sultanahmet,Casual Dining,Business Casual,None,5 Photos
16,Dubb Indian Bosphorus Restaurant & Bar,3.4,3,$30 and under,Indian,Sultanahmet,Casual Dining,Business Casual,None,7 Photos
17,Matbah Ottoman Palace Cuisine,4.3,1,$30 and under,Middle Eastern,Sultanahmet,Casual Dining,Business Casual,None,15 Photos
18,Habesha Restaurant İstanbul,5,2,$30 and under,African,Sultanahmet,Casual Dining,Business Casual,None,11 Photos
19,Limoncello,4.2,2,$31 to $50,Turkish,Sultanahmet,Casual Dining,Business Casual,None,5 Photos
20,Garden Mezze Restoran,0,0,$30 and under,Turkish,Sultanahmet,Casual Dining,Business Casual,None,6 Photos
21,Sur Balık Sarayburnu,5,1,$31 to $50,Seafood,Sultanahmet,Casual Dining,Business Casual,None,2 Photos
22,Cafe Bunka Sushi & Japanese Restaurant,5,1,$30 and under,Asian,Sultanahmet,Casual Dining,Business Casual,None,7 Photos
23,Juno,4.3,1,$30 and under,Italian,Sultanahmet,Casual Dining,Business Casual,None,3 Photos
24,Nişantaşi Başköşe,4.5,1,$30 and under,Middle Eastern,Sultanahmet,Casual Dining,Business Casual,None,12 Photos
25,Nars Brasserie,0,0,$30 and under,International,Sultanahmet,Casual Dining,Business Casual,None,16 Photos
26,Panoramic Restaurant,4.3,4,$30 and under,Spanish,Sultanahmet,Casual Dining,Business Casual,None,11 Photos
27,Faros Restaurant Taksim,5,1,$30 and under,Italian,Sultanahmet,Casual Dining,Business Casual,None,4 Photos
28,Tebek Korea Restaurant,4.2,1,$30 and under,Korean,Sultanahmet,Casual Dining,Business Casual,None,2 Photos
29,Glens Nişantaşı,4.4,2,$30 and under,Italian,Sultanahmet,Casual Dining,Business Casual,None,24 Photos
30,F&B Culture,4,1,$30 and under,Turkish,Sultanahmet,Casual Dining,Business Casual,None,5 Photos
31,Hacı Abdullah Lokantası,0,0,$30 and under,Middle Eastern,Sultanahmet,Casual Dining,Business Casual,None,5 Photos
32,Swiss Restaurant,5,1,$30 and under,Swiss,Ortaköy,Casual Dining,Business Casual,None,5 Photos
33,Sur Balık Cihangir,4.7,1,$31 to $50,Seafood,Sultanahmet,Casual Dining,Business Casual,None,3 Photos
34,Galata Kitchen,3.8,4,$30 and under,Turkish,Sultanahmet,Casual Dining,Business Casual,None,10 Photos
35,İmera Cihangir,0,0,$30 and under,International,Sultanahmet,Casual Dining,Business Casual,None,7 Photos
36,Yirmibir Ocakbaşı,4.4,11,$30 and under,Middle Eastern,Sultanahmet,Casual Dining,Business Casual,None,5 Photos
37,Vezenan 2 Restaurant,0,0,$30 and under,Turkish,Sultanahmet,Casual Dining,Business Casual,None,3 Photos
38,Mykonos by Kamo's,0,0,$30 and under,Unspecified,Sultanahmet,Casual Dining,Business Casual,None,2 Photos
39,Social Jazz Bar,1,1,$31 to $50,Turkish,Sultanahmet,Casual Dining,Business Casual,None,14 Photos
40,Galatalife Cafe Restaurant,0,0,$30 and under,Turkish,Sultanahmet,Casual Dining,Business Casual,None,4 Photos
41,Nişantaşı Balıkçısı,0,0,$30 and under,Seafood,Sultanahmet,Casual Dining,Business Casual,None,3 Photos
42,Ceres,0,0,$31 to $50,Mediterranean,Beyoğlu,Casual Elegant,Business Casual,Valet,2 Photos
43,Akıntıburnu Balık,0,0,$31 to $50,Seafood,Beşiktaş,Casual Dining,Business Casual,None,8 Photos
44,Karaköy Gümrük,4.5,2,$30 and under,Middle Eastern,Sultanahmet,Casual Dining,Business Casual,None,4 Photos
